"filename", "language", "F#", "msbuild", "JSON", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\s\repos\FsOpenAI\ExampleSettings.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\App.fs", "F#", 32, 0, 0, 0, 0, 0, 1, 10, 43
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\AppBar\AppBar.fs", "F#", 48, 0, 0, 0, 0, 0, 2, 4, 54
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Chats.fs", "F#", 62, 0, 0, 0, 0, 0, 1, 24, 87
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\ClientHub.fs", "F#", 30, 0, 0, 0, 0, 0, 3, 6, 39
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\FsOpenAI.Client.fsproj", "msbuild", 0, 37, 0, 0, 0, 0, 0, 0, 37
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\MainLayout.fs", "F#", 47, 0, 0, 0, 0, 0, 1, 5, 53
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Model.fs", "F#", 118, 0, 0, 0, 0, 0, 0, 16, 134
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Properties\launchSettings.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\SimpleCrypt.fs", "F#", 14, 0, 0, 0, 0, 0, 17, 8, 39
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Startup.fs", "F#", 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Subscription.fs", "F#", 27, 0, 0, 0, 0, 0, 1, 6, 34
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Update.fs", "F#", 90, 0, 0, 0, 0, 0, 1, 10, 101
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Utils.fs", "F#", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Views\ChatHistoryView.fs", "F#", 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Views\ChatParametersView.fs", "F#", 67, 0, 0, 0, 0, 0, 10, 3, 80
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Views\ChatView.fs", "F#", 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Views\MessageView.fs", "F#", 62, 0, 0, 0, 0, 0, 3, 7, 72
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Views\PromptView.fs", "F#", 8, 0, 0, 0, 0, 0, 47, 3, 58
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\Views\SysPromptView.fs", "F#", 25, 0, 0, 0, 0, 0, 1, 5, 31
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\wwwroot\css\index.css", "CSS", 0, 0, 0, 0, 0, 42, 0, 12, 54
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\wwwroot\main.html", "HTML", 0, 0, 0, 113, 0, 0, 0, 8, 121
"c:\s\repos\FsOpenAI\src\FsOpenAI.Client\wwwroot\scripts\utils.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
